1,SEM Device Related Widgets,Privileged to access SEM Device Related Widgets,1,smart asset,smart asset,1392800090,1392800090
2,ILC Device Related Widgets,Privileged to access ILC Device Related Widgets,1,smart asset,smart asset,1392800090,1392800090
3,SEM and ILC Related Widgets,Privileged to access SEM and ILC Related Widgets,1,smart asset,smart asset,1392800090,1392800090
